R,R_noise,Rhoa,Rhoa_noise
10.570863243178565,0.0,102.92002864257114,0.0
13.125523286421007,0.0,102.50727531560922,0.0
14.119423153889459,0.0,102.36414200182664,0.0
14.598970739489703,0.0,102.29705872548548,0.0
14.862187961766246,0.0,102.26047935565873,0.0
15.019678744385486,0.0,102.23857971453214,0.0
15.119931189325786,0.0,102.2245897160397,0.0
15.186815626665702,0.0,102.21499294771787,0.0
15.233188795428468,0.0,102.20824671771449,0.0
15.266393653746874,0.0,102.20348463548432,0.0
15.290800128751231,0.0,102.20001620254283,0.0
15.309124813980977,0.0,102.19742668285323,0.0
15.323107556142464,0.0,102.19545717091421,0.0
15.333890397035672,0.0,102.1939411110657,0.0
15.342238234541838,0.0,102.1927689850837,0.0
15.348671330451403,0.0,102.19186713984668,0.0
15.353546808457402,0.0,102.19118551844352,0.0
2.554656258291586,0.0,100.8338217471236,0.0
3.5485551905823143,0.0,100.74309201382677,0.0
4.028102527301668,0.0,100.69739362339695,0.0
4.291319696367536,0.0,100.67118508246962,0.0
4.448810485815451,0.0,100.65490484628481,0.0
4.549062955530313,0.0,100.64419102594647,0.0
4.6159474597350485,0.0,100.63613061771619,0.0
4.662320691796884,0.0,100.63022604043465,0.0
4.695525583059657,0.0,100.62620465161993,0.0
4.719932076285288,0.0,100.62334262511978,0.0
4.738256772119713,0.0,100.6212357504709,0.0
4.752239520914475,0.0,100.61964586017605,0.0
4.763022366141274,0.0,100.61842692565016,0.0
4.77137020653653,0.0,100.61748729598253,0.0
4.777803304358659,0.0,100.61676712323586,0.0
4.782678783337917,0.0,100.61622681117012,0.0
0.9938989272896094,0.0,100.51063288338743,0.0
1.473446250825814,0.0,100.46172662237801,0.0
1.7366634038830164,0.0,100.43289353932207,0.0
1.8941541781448359,0.0,100.41459925553953,0.0
1.9944066346212928,0.0,100.40232733798288,0.0
2.0612911212351164,0.0,100.39219176065903,0.0
2.1076643370752985,0.0,100.38454683758839,0.0
2.1408692183842377,0.0,100.37957043183619,0.0
2.1652757052322116,0.0,100.3761350826107,0.0
2.1836003968978925,0.0,100.37365498560642,0.0
2.197583142752169,0.0,100.37180504356282,0.0
2.2083659858109588,0.0,100.3703960181286,0.0
2.2167138247079166,0.0,100.36931514216992,0.0
2.223146921360202,0.0,100.36849133697619,0.0
2.2280223996209223,0.0,100.3678791335459,0.0
0.47954731388018157,0.0,100.360513980516,0.0
0.7427644541575719,0.0,100.32905480878271,0.0
0.9002552158542791,0.0,100.30878531654916,0.0
1.0005076609970096,0.0,100.29496340738606,0.0
1.0673921306791883,0.0,100.28215043071276,0.0
1.1137653303591404,0.0,100.27229017046076,0.0
1.1469702023754338,0.0,100.26626755329757,0.0
1.1713766836186201,0.0,100.26228922363202,0.0
1.1897013717459646,0.0,100.25949874606806,0.0
1.2036841152479183,0.0,100.25745334437373,0.0
1.2144669567279658,0.0,100.25591102229284,0.0
1.2228147944254677,0.0,100.25473664419704,0.0
1.229247890278985,0.0,100.25384903376799,0.0
1.2341233680264239,0.0,100.25319865657777,0.0
0.2632171358171718,0.0,100.2717892686128,0.0
0.4207078916478589,0.0,100.24988451385612,0.0
0.520960330983751,0.0,100.23469622722344,0.0
0.5878447891227393,0.0,100.21830950351935,0.0
0.634217977030992,0.0,100.20567873089854,0.0
0.6674228425512041,0.0,100.19865324571215,0.0
0.6918293203472092,0.0,100.19430950826782,0.0
0.7101540064296874,0.0,100.19139364903663,0.0
0.7241367487309799,0.0,100.189312324265,0.0
0.7349195895034889,0.0,100.18776605766223,0.0
0.7432674267140204,0.0,100.18660136991744,0.0
0.749700522268423,0.0,100.18573219379465,0.0
0.7545759998186263,0.0,100.18510972382067,0.0
0.15749075396975654,0.0,100.21329487491614,0.0
0.25774319069591983,0.0,100.19684198024774,0.0
0.32462764084081264,0.0,100.17498463702523,0.0
0.3710008198153369,0.0,100.15882178602688,0.0
0.404205681102943,0.0,100.15107834091528,0.0
0.4286121568709031,0.0,100.14678088561713,0.0
0.4469368421171493,0.0,100.14409969478174,0.0
0.4609195840320618,0.0,100.14226681820037,0.0
0.4717024246015635,0.0,100.14093483829238,0.0
0.48005026177637294,0.0,100.13994719658906,0.0
0.48648335736582443,0.0,100.13922564330117,0.0
0.4913588350584422,0.0,100.13873187788398,0.0
0.10025243587962318,0.0,100.17100549955445,0.0
0.1671368797065761,0.0,100.13890793681075,0.0
0.21351005097108616,0.0,100.11867193554318,0.0
