31 36 32 35
21 32 31 33
26 35 36 34
3 10 5 20
2 17 4 7
3 6 5 16
1 4 11 2
20 35 30 34
17 32 27 33
19 26 25 34
18 21 22 33
20 31 35 34
20 32 36 34
29 33 36 31
29 33 30 31
29 33 35 31
19 32 29 35
5 16 19 10
20 34 36 29
26 31 29 33
2 11 12 7
21 35 31 32
21 29 31 32
17 35 27 32
26 35 29 34
20 33 36 29
20 34 30 33
29 32 30 34
19 30 25 33
22 31 32 27
1 12 7 2
2 11 7 17
17 22 21 32
21 32 27 25
20 32 35 34
20 27 35 34
17 26 27 30
21 28 27 31
27 35 33 29
5 10 15 6
5 16 15 20
8 28 17 21
20 33 36 35
21 30 32 35
20 35 26 22
12 36 35 30
17 28 24 33
25 26 35 36
19 36 25 32
26 34 36 27
5 10 15 16
2 11 12 21
20 32 29 34
20 27 30 25
17 26 34 25
17 26 19 20
1 12 2 8
5 16 8 6
2 17 19 11
12 36 15 20
1 4 3 9
12 36 32 26
12 36 33 26
19 26 21 20
8 28 21 31
17 28 22 32
2 11 4 19
1 4 7 11
1 4 17 2
2 17 4 12
2 17 9 12
5 10 9 19
5 16 9 19
5 16 25 20
3 6 33 9
3 10 32 9
1 12 3 24
5 10 9 15
2 17 3 20
2 17 8 27
1 4 12 25
12 36 27 32
1 4 20 9
3 10 8 17
2 11 4 12
3 6 36 16
3 10 5 36
5 10 8 19
3 6 32 19
19 32 35 34
12 36 17 27
2 17 28 21
3 10 31 19
2 11 26 32
8 28 12 11
1 12 2 28
12 36 21 32
17 28 29 32
17 22 31 32
26 31 32 27
17 35 21 22
21 35 31 22
17 28 21 31
2 11 12 31
8 28 9 19
21 29 31 22
25 26 29 36
5 16 19 26
5 16 33 10
3 6 33 15
1 4 29 15
3 10 32 15
17 28 35 32
5 16 28 30
8 28 20 22
1 12 4 18
2 11 19 22
1 4 22 19
1 12 15 18
18 21 20 28
1 12 3 22
8 28 25 22
8 28 15 25
19 26 24 29
1 4 19 10
3 10 12 22
21 29 28 24
5 10 7 33
3 10 11 31
3 10 30 6
3 6 12 34
8 28 10 30
2 11 10 35
19 32 26 36
5 10 13 19
17 32 24 28
2 17 13 29
17 22 21 24
3 10 13 5
20 27 23 28
3 6 4 23
17 22 26 23
21 30 31 23
18 21 24 33
12 36 18 31
17 28 21 18
17 32 18 22
2 11 26 18
1 12 3 14
1 4 23 14
1 4 14 6
3 10 14 16
3 10 13 14
5 10 14 25
5 16 9 14
8 28 14 19
8 28 14 18
1 4 18 13
1 4 25 16
8 28 36 34
17 28 36 33
21 35 28 24
18 21 23 33
17 28 23 32
3 10 23 25
17 32 23 28
17 32 23 35
20 34 25 22
21 35 28 23
19 26 23 34
12 36 16 20
1 12 32 13
19 36 23 32
20 33 23 27
20 33 25 23
21 30 34 35
3 6 36 20
20 34 24 28
3 6 18 24
20 33 24 22
3 6 25 26
