iteration,resolution,confignr
1.0,0.01865427389064498,3.0
2.0,0.043382758594507145,4.0
3.0,0.06213104306036419,5.0
4.0,0.08207272815772813,6.0
5.0,0.09734304014201149,7.0
6.0,0.10730104498514649,8.0
7.0,0.11611535292995369,9.0
8.0,0.13148009047350337,10.0
9.0,0.14092529422592123,11.0
10.0,0.14745686381255502,12.0
11.0,0.16911686219002808,13.0
12.0,0.1775247971122994,14.0
13.0,0.18992886002062676,15.0
14.0,0.19877768572113727,16.0
15.0,0.20875651644780518,17.0
16.0,0.21708004199149214,18.0
17.0,0.22465845123302222,19.0
18.0,0.23142402971314033,20.0
19.0,0.2392149015731143,21.0
20.0,0.24735603834776268,22.0
21.0,0.2557315849877963,23.0
22.0,0.2624836878131902,24.0
23.0,0.26980977912476956,25.0
24.0,0.2777874890737562,26.0
25.0,0.2849987594187801,27.0
26.0,0.29474333426349736,28.0
27.0,0.30359203801091694,29.0
28.0,0.3109974831795619,30.0
29.0,0.3176561071649381,31.0
30.0,0.33354294465862705,32.0
31.0,0.34340392490113714,33.0
32.0,0.3549408647161489,34.0
33.0,0.3628256322831445,35.0
34.0,0.371512501526087,36.0
35.0,0.3788188398097323,37.0
36.0,0.388013464957351,38.0
37.0,0.3959338095341247,39.0
38.0,0.40298392468792577,40.0
39.0,0.4093089292703167,41.0
40.0,0.41729402065167887,42.0
41.0,0.4247286079070954,43.0
42.0,0.4312433886934802,44.0
43.0,0.4373793184783317,45.0
44.0,0.44373110531633303,46.0
45.0,0.45249074392576216,47.0
46.0,0.4595236252535543,48.0
47.0,0.4668308206146462,49.0
48.0,0.47246355172021526,50.0
49.0,0.47838358236132117,51.0
50.0,0.48446167244882876,52.0
51.0,0.4904711166959685,53.0
52.0,0.49747187580849117,54.0
53.0,0.504344141627297,55.0
54.0,0.510912068901308,56.0
55.0,0.5158783460662758,57.0
56.0,0.5206993017513197,58.0
57.0,0.5265806900793856,59.0
58.0,0.5320224590646969,60.0
59.0,0.5369849488323368,61.0
60.0,0.5419128633371053,62.0
61.0,0.5467015508415912,63.0
62.0,0.553829738810172,64.0
63.0,0.5594558960925711,65.0
64.0,0.5645350521236544,66.0
65.0,0.5694062442092573,67.0
66.0,0.5737083044766605,68.0
67.0,0.5790362978991205,69.0
68.0,0.5838967588320431,70.0
69.0,0.5914802073584411,71.0
70.0,0.5963976864686018,72.0
71.0,0.6010377688182303,73.0
72.0,0.6087961830819586,74.0
73.0,0.6133574526288281,75.0
74.0,0.6205589790383281,76.0
75.0,0.6252983185437302,77.0
76.0,0.6295310092466461,78.0
77.0,0.633882742143373,79.0
78.0,0.6379676591589573,80.0
79.0,0.6471412396652167,81.0
80.0,0.651434914445153,82.0
81.0,0.655154655735941,83.0
82.0,0.6589440512046384,84.0
83.0,0.6629160479757022,85.0
84.0,0.666990118690194,86.0
85.0,0.6716099673929988,87.0
86.0,0.6764253710969561,88.0
87.0,0.6812586179263965,89.0
88.0,0.6852799041519729,90.0
89.0,0.6892654616450654,91.0
90.0,0.6931710251738502,92.0
91.0,0.6972264889312507,93.0
92.0,0.7024156532673244,94.0
93.0,0.7077342143173849,95.0
94.0,0.7112500427452776,96.0
95.0,0.7147827082729158,97.0
96.0,0.7192159743448832,98.0
97.0,0.7245202335509414,99.0
98.0,0.7280969640073816,100.0
