1 17 2 3
3 20 18 19
1 3 20 18
1 15 11 20
1 11 7 20
1 7 4 20
1 17 14 20
1 3 15 14
4 14 11 18
6 14 11 20
4 6 20 18
4 6 15 14
2 4 17 15
2 4 20 11
1 12 4 6
2 11 20 18
2 11 4 6
1 2 14 13
8 19 11 13
3 11 7 15
1 18 7 14
15 18 20 17
7 20 11 14
1 17 3 15
1 15 7 11
13 15 20 18
2 3 13 11
8 13 18 11
6 15 8 14
2 4 20 18
2 4 15 14
4 6 17 15
6 11 17 15
4 17 6 15
2 6 3 7
3 4 7 6
2 3 20 7
2 3 12 6
8 11 19 14
2 17 8 14
8 11 20 15
2 17 5 18
3 13 4 14
1 3 8 6
6 7 20 17
1 7 18 14
1 20 6 8
13 20 15 17
3 4 17 13
1 2 20 17
6 7 13 11
7 20 13 14
13 14 20 18
1 2 19 11
14 17 15 20
1 13 5 14
8 11 18 17
8 19 12 17
17 19 18 20
1 2 17 15
13 14 18 17
11 13 18 17
11 13 20 18
1 2 20 18
6 18 7 19
3 4 16 12
1 2 7 6
1 2 11 7
1 3 9 5
4 7 5 16
3 4 13 11
1 10 20 19
10 13 19 18
14 15 20 19
11 13 20 19
7 12 10 15
6 7 17 15
10 16 13 14
1 2 20 19
6 7 20 19
6 10 19 18
4 6 14 13
7 8 14 13
5 20 12 14
12 16 18 15
7 8 16 15
9 15 13 16
8 10 18 16
9 20 15 16
1 13 20 10
11 13 17 16
7 8 20 19
1 14 7 8
1 3 17 16
13 14 20 19
1 2 6 5
3 20 5 6
5 9 6 12
5 8 18 16
1 10 4 5
